2025-03-30 23:49:18,662 - INFO - Timestep 76697| Episode 110/500000 | Score: 2.00 | Avg Reward: 1.26 | Epsilon: 1.0000 | Time: 0.52s |
2025-03-30 23:49:19,200 - INFO - Timestep 77510| Episode 111/500000 | Score: 2.00 | Avg Reward: 1.28 | Epsilon: 1.0000 | Time: 0.54s |
2025-03-30 23:49:19,918 - INFO - Timestep 78607| Episode 112/500000 | Score: 3.00 | Avg Reward: 1.31 | Epsilon: 1.0000 | Time: 0.72s |
2025-03-30 23:49:20,629 - INFO - Timestep 79695| Episode 113/500000 | Score: 3.00 | Avg Reward: 1.34 | Epsilon: 1.0000 | Time: 0.71s |
Model saved!
2025-03-30 23:49:20,964 - INFO - Timestep 80182| Episode 114/500000 | Score: 0.00 | Avg Reward: 1.33 | Epsilon: 1.0000 | Time: 0.33s |
2025-03-30 23:49:21,492 - INFO - Timestep 80984| Episode 115/500000 | Score: 2.00 | Avg Reward: 1.35 | Epsilon: 1.0000 | Time: 0.53s |
2025-03-30 23:49:21,954 - INFO - Timestep 81669| Episode 116/500000 | Score: 1.00 | Avg Reward: 1.36 | Epsilon: 1.0000 | Time: 0.46s |
2025-03-30 23:49:22,407 - INFO - Timestep 82358| Episode 117/500000 | Score: 1.00 | Avg Reward: 1.35 | Epsilon: 1.0000 | Time: 0.45s |
2025-03-30 23:49:22,815 - INFO - Timestep 82968| Episode 118/500000 | Score: 1.00 | Avg Reward: 1.36 | Epsilon: 1.0000 | Time: 0.41s |
2025-03-30 23:49:23,469 - INFO - Timestep 83964| Episode 119/500000 | Score: 3.00 | Avg Reward: 1.38 | Epsilon: 1.0000 | Time: 0.65s |
2025-03-30 23:49:23,934 - INFO - Timestep 84660| Episode 120/500000 | Score: 1.00 | Avg Reward: 1.38 | Epsilon: 1.0000 | Time: 0.46s |
2025-03-30 23:49:24,513 - INFO - Timestep 85546| Episode 121/500000 | Score: 2.00 | Avg Reward: 1.38 | Epsilon: 1.0000 | Time: 0.58s |
2025-03-30 23:49:24,996 - INFO - Timestep 86276| Episode 122/500000 | Score: 2.00 | Avg Reward: 1.39 | Epsilon: 1.0000 | Time: 0.48s |
2025-03-30 23:49:25,325 - INFO - Timestep 86771| Episode 123/500000 | Score: 0.00 | Avg Reward: 1.39 | Epsilon: 1.0000 | Time: 0.33s |
2025-03-30 23:49:25,831 - INFO - Timestep 87500| Episode 124/500000 | Score: 2.00 | Avg Reward: 1.41 | Epsilon: 1.0000 | Time: 0.51s |
2025-03-30 23:49:26,172 - INFO - Timestep 88011| Episode 125/500000 | Score: 0.00 | Avg Reward: 1.39 | Epsilon: 1.0000 | Time: 0.34s |
2025-03-30 23:49:26,705 - INFO - Timestep 88797| Episode 126/500000 | Score: 2.00 | Avg Reward: 1.39 | Epsilon: 1.0000 | Time: 0.53s |
2025-03-30 23:49:27,110 - INFO - Timestep 89405| Episode 127/500000 | Score: 1.00 | Avg Reward: 1.40 | Epsilon: 1.0000 | Time: 0.40s |
Model saved!
2025-03-30 23:49:27,532 - INFO - Timestep 90025| Episode 128/500000 | Score: 1.00 | Avg Reward: 1.40 | Epsilon: 1.0000 | Time: 0.42s |
2025-03-30 23:49:28,238 - INFO - Timestep 91023| Episode 129/500000 | Score: 3.00 | Avg Reward: 1.42 | Epsilon: 1.0000 | Time: 0.70s |
2025-03-30 23:49:28,889 - INFO - Timestep 92008| Episode 130/500000 | Score: 3.00 | Avg Reward: 1.45 | Epsilon: 1.0000 | Time: 0.65s |
2025-03-30 23:49:29,481 - INFO - Timestep 92903| Episode 131/500000 | Score: 2.00 | Avg Reward: 1.47 | Epsilon: 1.0000 | Time: 0.59s |
2025-03-30 23:49:30,065 - INFO - Timestep 93778| Episode 132/500000 | Score: 2.00 | Avg Reward: 1.48 | Epsilon: 1.0000 | Time: 0.58s |
2025-03-30 23:49:30,978 - INFO - Timestep 95180| Episode 133/500000 | Score: 5.00 | Avg Reward: 1.53 | Epsilon: 1.0000 | Time: 0.91s |
2025-03-30 23:49:31,503 - INFO - Timestep 95976| Episode 134/500000 | Score: 2.00 | Avg Reward: 1.55 | Epsilon: 1.0000 | Time: 0.52s |
2025-03-30 23:49:32,157 - INFO - Timestep 96964| Episode 135/500000 | Score: 3.00 | Avg Reward: 1.57 | Epsilon: 1.0000 | Time: 0.65s |
2025-03-30 23:49:32,491 - INFO - Timestep 97468| Episode 136/500000 | Score: 0.00 | Avg Reward: 1.54 | Epsilon: 1.0000 | Time: 0.33s |
2025-03-30 23:49:32,819 - INFO - Timestep 97960| Episode 137/500000 | Score: 0.00 | Avg Reward: 1.53 | Epsilon: 1.0000 | Time: 0.33s |
2025-03-30 23:49:33,277 - INFO - Timestep 98655| Episode 138/500000 | Score: 1.00 | Avg Reward: 1.54 | Epsilon: 1.0000 | Time: 0.46s |
2025-03-30 23:49:33,731 - INFO - Timestep 99335| Episode 139/500000 | Score: 1.00 | Avg Reward: 1.52 | Epsilon: 1.0000 | Time: 0.45s |
2025-03-30 23:49:34,062 - INFO - Timestep 99824| Episode 140/500000 | Score: 0.00 | Avg Reward: 1.51 | Epsilon: 1.0000 | Time: 0.33s |
Model saved!
2025-03-30 23:49:34,518 - INFO - Target network updated
2025-03-30 23:49:37,312 - INFO - Timestep 100704| Episode 141/500000 | Score: 2.00 | Avg Reward: 1.53 | Epsilon: 0.9993 | Time: 3.25s |
2025-03-30 23:49:40,064 - INFO - Timestep 101405| Episode 142/500000 | Score: 1.00 | Avg Reward: 1.52 | Epsilon: 0.9986 | Time: 2.75s |
